id,body,created_at,usefulness
0,"Management is tasked with ensuring that information security policies are properly communicated to all employees and contractors. This includes regular training sessions and updates on security best practices. All personnel must acknowledge receipt and understanding of these policies annually.",1672527600,0.85
1,"The company offers a comprehensive vacation policy. Full-time employees accrue 15 days of paid time off (PTO) per year during their first three years of employment. After three years of service, this increases to 20 days per year. PTO must be requested at least two weeks in advance for periods longer than three consecutive days.",1680307200,0.92
2,"Our performance review process occurs quarterly for all employees. Managers are required to provide written feedback covering goal achievement, skill development, and areas for improvement. Employees have the opportunity to provide self-assessments and discuss career development plans during these reviews.",1672527600,0.78
3,"The parental leave policy provides 12 weeks of paid leave for primary caregivers and 4 weeks for secondary caregivers. This applies to all new parents including biological, adoptive, and foster parents. Leave must be taken within the first year of the child's birth or placement.",1688169600,0.95
4,"Remote work arrangements are available for eligible positions. Employees must submit a remote work agreement form and receive manager approval. The company provides a $500 annual stipend for home office equipment. Employees are expected to maintain regular working hours and be available for video meetings.",1680307200,0.88
5,"Health insurance coverage begins on the first day of employment. The company offers three plan options: Basic PPO, Enhanced PPO, and High-Deductible with HSA. Annual enrollment occurs in November with changes effective January 1st. New employees have 30 days from hire date to enroll.",1672527600,0.91
6,"Professional development is encouraged through our learning and development program. Employees receive $2000 annually for courses, conferences, and certifications relevant to their role. Manager approval is required. Unused funds do not roll over to the following year.",1685836800,0.83
7,"The company operates a 401(k) retirement plan with employer matching. We match 100% of employee contributions up to 6% of salary. Employees are eligible to participate after 90 days of employment. The company contribution vests over four years at 25% per year.",1672527600,0.89
8,"Security awareness training is mandatory for all employees. The program includes modules on phishing detection, password management, data handling, and incident reporting. Training must be completed within the first week of employment and annually thereafter. Compliance is tracked and reported to management.",1677628800,0.76
9,"Our wellness program offers resources for physical and mental health. This includes gym membership reimbursement up to $50/month, access to mental health counseling through our EAP, and quarterly wellness challenges with prizes. Participation is voluntary and confidential.",1683244800,0.87
10,"Code of conduct violations should be reported immediately. The company maintains a confidential ethics hotline available 24/7. Reports can be made anonymously. All reports are investigated promptly and appropriate action is taken. Retaliation against reporters is strictly prohibited.",1672527600,0.94
11,"Employees may request flexible working hours with manager approval. Core hours are 10am-3pm when all team members should be available. Flex time arrangements must maintain the required 40 hours per week. Requests should be submitted in writing with business justification.",1680307200,0.81
12,"Equipment and software requests should be submitted through the IT service portal. Standard laptop and monitor setups are provided to all employees. Specialized equipment requires manager and department head approval. All company equipment remains company property and must be returned upon termination.",1675209600,0.79
13,"Expense reimbursement requests must be submitted within 30 days of the expense date. Receipts are required for all expenses over $25. Travel expenses should follow the company travel policy. Reimbursements are processed bi-weekly and deposited via direct deposit.",1672527600,0.86
14,"Confidentiality agreements are signed at the start of employment and remain in effect indefinitely. Employees must not disclose proprietary information, trade secrets, or confidential business information. This includes customer data, financial information, and strategic plans. Violations may result in legal action.",1672527600,0.93
15,"The referral bonus program awards $3000 for successful hires. The referring employee receives $1000 after the new hire completes 90 days and $2000 after 6 months. Referrals must be submitted before the candidate applies. Program terms are subject to change and certain positions may be excluded.",1687564800,0.82
